Nombre componente/instancia;CHECK UNICIDAD;TORRE;ENTORNO;DUPLICADO?;VERIFICACION EN LISTA ENTITIES DYNATRACE;VERIFICACION CMDB - ESTADO;VERIFICACION CMDB - GRUPO;VERIFICACION CMDB - ENTORNO;VERIFICACION CMDB - SISTEMA OPERATIVO;CHECK INVENTARIO PLAN;Estado Monitoreo Integración;MARCA OBSOLESCENCIA;[Instancia] : Nombre ORI;[Instancia] : Motor de Base de Datos;[Servidor] : Display Label;Notas;Réplicación 
APPPDB;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;APPPDB;oracle;TSECLDB004;TSMONDNS;
B030DCA;1;BDD INST;DCA;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DRECWDB030/B030DCA;MicrosoftSQLServer;DRECWCL017 / DRECWCL018;;Always On
bastion;1;UNIX;DCP;NO DUPLICADO;Componente no encontrado en Dynatrace;Operativo;UNIX;Producción;Linux Red Hat - 8.10;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;bastion.ocpdca.bpichincha.com;Red Hat Enterprise Linux 8 (64-bit);Operativo;Red Hat OpenShift Container Platform;B - Ecosistema Apetito de Riesgo
bastion;0;WINTEL;DCA;DUPLICADO;Componente no encontrado en Dynatrace;Operativo;UNIX;Producción;Linux Red Hat - 8.10;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;bastion.ocpdca.bpichincha.com;Red Hat Enterprise Linux 8 (64-bit);poweredOn;DRECAVC006;VMware Virtual Machine Instance
bastion.ocpdcp.bpichincha.com;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Retirado;SRE;Producción;Linux - 8.10;NO ENCONTRADO EN PLAN;Monitoreado Dynatrace;VERIFICAR VERSION;bastion.ocpdcp.bpichincha.com;Red Hat Enterprise Linux 8 (64-bit);Operativo;Red Hat OpenShift Container Platform;B - Ecosistema Apetito de Riesgo
bastion.ocpdcp.bpichincha.com;0;WINTEL;DCP;DUPLICADO;ENTITIES DYNATRACE;Retirado;SRE;Producción;Linux - 8.10;NO ENCONTRADO EN PLAN;Monitoreado Dynatrace;VERIFICAR VERSION;bastion.ocpdcp.bpichincha.com;Red Hat Enterprise Linux 8 (64-bit);poweredOn;ECBPPRVC8;VMware Virtual Machine Instance
bgr012com1;1;WINTEL;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Retirado;WINTEL;Producción;Windows 2003 Standard - 5.2.3790;NO ENCONTRADO EN PLAN;Remote Host Wintel (Extension);OBSOLETO;bgr012com1;Microsoft Windows Server 2003 Standard (32-bit);poweredOn;ECBPPRVC9;VMware Virtual Machine Instance
BPBPM;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPM;oracle;TSECBPSG03;CBPTSGLO1;
BPBPM;0;BDD INST;ENP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPM;oracle;TSECBPSG04;CBPTSGLO2;
BPBPMC;1;BDD INST;DCP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMC;oracle;PRECBPSG03;CBPPSGLO1;
BPBPMC;0;BDD INST;DCP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMC;oracle;PRECBPSG04;CBPPSGLO2;
BPBPMC;0;BDD INST;DCA;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMC;oracle;DRECBPSG03;;Oracle Dataguard
BPBPMC;0;BDD INST;DCA;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMC;oracle;DRECBPSG04;;Oracle Dataguard
BPBPMD;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMD;oracle;DSECBPSG03;CDBSIGLO;
BPBPMP;1;BDD INST;DCP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMP;oracle;PRECBPSG03;CBPPSGLO1;
BPBPMP;0;BDD INST;DCP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMP;oracle;PRECBPSG04;CBPPSGLO2;
BPBPMP;0;BDD INST;DCA;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMP;oracle;DRECBPSG03;;Oracle Dataguard
BPBPMP;0;BDD INST;DCA;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMP;oracle;DRECBPSG04;;Oracle Dataguard
BPBPMT;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMT;oracle;DSECBPSG03;CDBSIGLO;
BPBPMT;0;BDD INST;ENP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMT;oracle;TSECBPSG03;CBPTSGLO1;
BPBPMT;0;BDD INST;ENP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;BPBPMT;oracle;TSECBPSG04;CBPTSGLO2;
componentbl3;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Centos Linux 7 (core) (kernel 3.10.0-1127.19.1.el7.x86_64) - 7;NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);OBSOLETO;componentbl3;Other 3.x Linux (64-bit);Operativo;Symantec Messaging Gateway;E - No Crítica
componentbl3;0;UNIX;DCP;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Centos Linux 7 (core) (kernel 3.10.0-1127.19.1.el7.x86_64) - 7;NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);OBSOLETO;componentbl3;Other 3.x Linux (64-bit);No operativo;Symantec Messaging Gateway;E - No Crítica
componentbl3;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Centos Linux 7 (core) (kernel 3.10.0-1127.19.1.el7.x86_64) - 7;NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);OBSOLETO;componentbl3;Other 3.x Linux (64-bit);poweredOff;DRECAVC004;VMware Virtual Machine Instance
componentbl3;0;WINTEL;DCP;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Centos Linux 7 (core) (kernel 3.10.0-1127.19.1.el7.x86_64) - 7;NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);OBSOLETO;componentbl3;CentOS 7 (64-bit);poweredOn;ECBPPRVC9;VMware Virtual Machine Instance
componentg3;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;GNU/Linux - Other 3.x Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);VERIFICAR VERSION;componentg3;Other 3.x Linux (64-bit);Operativo;Symantec Messaging Gateway;E - No Crítica
componentg3;0;WINTEL;DCP;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;GNU/Linux - Other 3.x Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);VERIFICAR VERSION;componentg3;CentOS 7 (64-bit);poweredOn;ECBPPRVC9;VMware Virtual Machine Instance
componentg4;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Prueba;GNU/Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);VERIFICAR VERSION;componentg4;Other 3.x or later Linux (64-bit);Operativo;Symantec Messaging Gateway;E - No Crítica
componentg4;0;UNIX;DCP;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Prueba;GNU/Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);VERIFICAR VERSION;componentg4;Other 3.x or later Linux (64-bit);No operativo;Symantec Messaging Gateway;E - No Crítica
componentg4;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Prueba;GNU/Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);VERIFICAR VERSION;componentg4;Other 3.x or later Linux (64-bit);poweredOff;DRECAVC004;VMware Virtual Machine Instance
componentg4;0;WINTEL;DCP;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Prueba;GNU/Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (vCenters);VERIFICAR VERSION;componentg4;CentOS 7 (64-bit);poweredOn;ECBPPRVC9;VMware Virtual Machine Instance
CONTROLM;1;BDD INST;DCP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;CONTROLM;oracle;PRECBPCM01;;
CONTROLM;0;BDD INST;ENP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;CONTROLM;oracle;TSECBPCM01;;
CRTOAUTD;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;CRTOAUTD;oracle;DSECBPSG03;;
ct-bancodelpi-01;1;UNIX;DCP;NO DUPLICADO;Componente no encontrado en Dynatrace;Operativo;UNIX;Producción;Linux Oracle - 8.7;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;CON SOPORTE;ct-bancodelpi-01;Servidor Linux;Operativo;VERDADERO;Computer
CTROAUTT1;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;CTROAUTT1;oracle;TSECBPSG03;;
CTROAUTT2;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;CTROAUTT2;oracle;TSECBPSG04;;
DB2FNDI1;1;BDD INST;DCP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2FNDI1;db2;ECBPFDBP1 / ECBPFDBP2;;
DB2FNDI1;0;BDD INST;ENP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2FNDI1;db2;ECBPFDBD1;;
DB2FNDI1;0;BDD INST;ENP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2FNDI1;db2;ECBPFDBT1;;
DB2FNDI1;0;BDD INST;DCA;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2FNDI1;db2;DRECBPFDBP2, DRECBPFDBP1;;HADR
DB2ODM;1;BDD INST;DCP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2ODM;db2;PRECXODB001 / PRECXODB002;;
DB2ODM;0;BDD INST;ENP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2ODM;db2;DSECXDB001;;
DB2ODM;0;BDD INST;ENP;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2ODM;db2;TSECXDB001 / TSECXDB002;;
DB2ODM;0;BDD INST;DCA;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2ODM;db2;DRECXODB001;;HADR
DB2PORT;1;BDD INST;DCP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2PORT;db2;ECBPHABP4 / ECBPHABP5;;
DB2PORT;0;BDD INST;DCA;DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DB2PORT;db2;DRECBPHABP4 , DRECBPHABP5;;HADR
DBPMCRBE;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DBPMCRBE;oracle;ECBPBBDD1;;
DDES;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DDES;oracle;DSECBPSG03;CDBSIGLO;
DOTPNOT;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DOTPNOT;oracle;DSECBPOC15;;
DPBPMBIZ;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DPBPMBIZ;oracle;DSECBPSG03;CDBSIGLO;
DPOMN;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DPOMN;oracle;DSECBPOC15;;
DPOMNLOG;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DPOMNLOG;oracle;DSECBPOC15;;
DPSWITCH;1;BDD INST;ENP;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DPSWITCH;oracle;DSECBPSG03;CDBSIGLO;
DR1VIOS01;1;UNIX;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Remote Host Unix (Extension);VERIFICAR TL (5 soportado);DR1VIOS01;Instancia IBM LPAR;Operativo;VERDADERO;
DR1VIOS02;1;UNIX;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Remote Host Unix (Extension);VERIFICAR TL (5 soportado);DR1VIOS02;Instancia IBM LPAR;Operativo;VERDADERO;
DR1VIOS03;1;UNIX;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Remote Host Unix (Extension);VERIFICAR TL (5 soportado);DR1VIOS03;Instancia IBM LPAR;Operativo;VERDADERO;
DR1VIOS04;1;UNIX;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Remote Host Unix (Extension);VERIFICAR TL (5 soportado);DR1VIOS04;Instancia IBM LPAR;Operativo;VERDADERO;
DR2VIOS01;1;UNIX;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Remote Host Unix (Extension);VERIFICAR TL (5 soportado);DR2VIOS01;Instancia IBM LPAR;Operativo;VERDADERO;
DR2VIOS02;1;UNIX;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Remote Host Unix (Extension);VERIFICAR TL (5 soportado);DR2VIOS02;Instancia IBM LPAR;Operativo;VERDADERO;
DR2VIOS03;1;UNIX;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Remote Host Unix (Extension);VERIFICAR TL (5 soportado);DR2VIOS03;Instancia IBM LPAR;Operativo;VERDADERO;
DR2VIOS04;1;UNIX;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Remote Host Unix (Extension);VERIFICAR TL (5 soportado);DR2VIOS04;Instancia IBM LPAR;Operativo;VERDADERO;
drecaap002;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - 8.7.0.3;NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap002;Other 3.x or later Linux (64-bit);Operativo;VMware Site Recovery Manager;E - No Crítica
drecaap002;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - 8.7.0.3;NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap002;VMware Photon OS (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecaap013;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap013;Other 3.x or later Linux (64-bit);Operativo;VMware Aria Operations;E - No Crítica
drecaap013;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap013;VMware Photon OS (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecaap014;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap014;Other 3.x or later Linux (64-bit);Operativo;VMware Aria Operations;E - No Crítica
drecaap014;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap014;VMware Photon OS (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecaap015;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap015;Other 3.x or later Linux (64-bit);Operativo;VMware Aria Operations;E - No Crítica
drecaap015;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap015;VMware Photon OS (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecaap016;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap016;Other 3.x or later Linux (64-bit);Operativo;VMware Aria Operations;E - No Crítica
drecaap016;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Linux - Other 3.x or later Linux (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecaap016;VMware Photon OS (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecanx001;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Centos Linux 7 (core) (kernel 3.10.0-1127.19.1.el7.x86_64) - CentOS 4/5/6 (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecanx001;CentOS 4/5/6 (64-bit);Operativo;Nutanix Prism Central;D - BIA No Crítica
drecanx001;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Centos Linux 7 (core) (kernel 3.10.0-1127.19.1.el7.x86_64) - CentOS 4/5/6 (64-bit);NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecanx001;CentOS 4/5/6 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecasa003;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;Grupo Ciberseguridad BP;Producción;Linux - 7.5.1;NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecasa003;Debian GNU/Linux 10 (64-bit);Operativo;Stealtwatch;E - No Crítica
drecasa003;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;Grupo Ciberseguridad BP;Producción;Linux - 7.5.1;NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecasa003;Debian GNU/Linux 11 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecasa004;1;UNIX;DCP;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;Grupo Ciberseguridad BP;Producción;Linux - 7.5.1;NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecasa004;Debian GNU/Linux 10 (64-bit);Operativo;Stealtwatch;E - No Crítica
drecasa004;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;Grupo Ciberseguridad BP;Producción;Linux - 7.5.1;NO ENCONTRADO EN PLAN;Integracion Vmware (Vcenters);VERIFICAR VERSION;drecasa004;Debian GNU/Linux 11 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
